Exchange Date,Close,Net,%Chg,Open
28-Feb-2022,24.42,+0.62,+2.61%,23.69
25-Feb-2022,23.80,+0.47,+2.01%,23.50
24-Feb-2022,23.33,-0.08,-0.34%,23.39
23-Feb-2022,23.41,+0.21,+0.91%,23.27
22-Feb-2022,23.20,-0.29,-1.23%,23.68
18-Feb-2022,23.49,-0.27,-1.14%,23.74
17-Feb-2022,23.76,-0.23,-0.96%,23.90
16-Feb-2022,23.99,-0.03,-0.12%,24.10
15-Feb-2022,24.02,-0.13,-0.54%,24.00
14-Feb-2022,24.15,-0.53,-2.15%,24.63
11-Feb-2022,24.68,+0.60,+2.49%,24.42
10-Feb-2022,24.08,-0.24,-0.99%,24.31
09-Feb-2022,24.32,+0.22,+0.91%,24.19
08-Feb-2022,24.10,-0.06,-0.25%,24.12
07-Feb-2022,24.16,+0.16,+0.67%,24.00
04-Feb-2022,24.00,+0.11,+0.46%,24.02
03-Feb-2022,23.89,-0.05,-0.21%,23.88
02-Feb-2022,23.94,+0.15,+0.63%,23.88
01-Feb-2022,23.79,+0.15,+0.63%,23.27
31-Jan-2022,23.64,-0.02,-0.08%,23.66
28-Jan-2022,23.66,-0.64,-2.63%,23.65
27-Jan-2022,24.30,-0.15,-0.61%,24.55
26-Jan-2022,24.45,+0.26,+1.07%,24.45
25-Jan-2022,24.19,+0.54,+2.28%,23.68
24-Jan-2022,23.65,-0.15,-0.63%,23.40
21-Jan-2022,23.80,-0.24,-1.00%,23.85
20-Jan-2022,24.04,-0.08,-0.33%,24.15
19-Jan-2022,24.12,-0.01,-0.04%,24.30
18-Jan-2022,24.13,+0.14,+0.58%,24.03
14-Jan-2022,23.99,+0.16,+0.67%,23.89
13-Jan-2022,23.83,-0.25,-1.04%,24.12
12-Jan-2022,24.08,+0.16,+0.67%,24.04
11-Jan-2022,23.92,+0.36,+1.53%,23.90
10-Jan-2022,23.56,+0.16,+0.68%,23.56
07-Jan-2022,23.40,+0.13,+0.56%,23.25
06-Jan-2022,23.27,+0.39,+1.70%,23.36
05-Jan-2022,22.88,-0.07,-0.31%,23.21
04-Jan-2022,22.95,+0.31,+1.37%,22.87
03-Jan-2022,22.64,+0.68,+3.10%,22.09
31-Dec-2021,21.96,+0.26,+1.20%,21.65
30-Dec-2021,21.70,+0.03,+0.14%,21.67
29-Dec-2021,21.67,+0.05,+0.23%,21.66
