Exchange Date,Close,Net,%Chg,Open
28-Feb-2022,"4,373.9391",-10.7154,-0.2444%,"4,373.9391"
25-Feb-2022,"4,384.6545",+95.9585,+2.2375%,"4,384.6545"
24-Feb-2022,"4,288.6960",+63.1911,+1.4955%,"4,288.6960"
23-Feb-2022,"4,225.5049",-79.2527,-1.8410%,"4,225.5049"
22-Feb-2022,"4,304.7576",-44.1116,-1.0143%,"4,304.7576"
18-Feb-2022,"4,348.8692",-31.3894,-0.7166%,"4,348.8692"
17-Feb-2022,"4,380.2586",-94.7525,-2.1174%,"4,380.2586"
16-Feb-2022,"4,475.0111",+3.9369,+0.0881%,"4,475.0111"
15-Feb-2022,"4,471.0742",+69.4072,+1.5768%,"4,471.0742"
14-Feb-2022,"4,401.6670",-16.9695,-0.3840%,"4,401.6670"
11-Feb-2022,"4,418.6365",-85.4483,-1.8971%,"4,418.6365"
10-Feb-2022,"4,504.0848",-83.0941,-1.8114%,"4,504.0848"
09-Feb-2022,"4,587.1789",+65.6400,+1.4517%,"4,587.1789"
08-Feb-2022,"4,521.5389",+37.6736,+0.8402%,"4,521.5389"
07-Feb-2022,"4,483.8653",-16.6662,-0.3703%,"4,483.8653"
04-Feb-2022,"4,500.5315",+23.0895,+0.5157%,"4,500.5315"
03-Feb-2022,"4,477.4420",-111.9346,-2.4390%,"4,477.4420"
02-Feb-2022,"4,589.3766",+42.8376,+0.9422%,"4,589.3766"
01-Feb-2022,"4,546.5390",+30.9914,+0.6863%,"4,546.5390"
31-Jan-2022,"4,515.5476",+83.6985,+1.8886%,"4,515.5476"
28-Jan-2022,"4,431.8491",+105.3354,+2.4346%,"4,431.8491"
27-Jan-2022,"4,326.5137",-23.4149,-0.5383%,"4,326.5137"
26-Jan-2022,"4,349.9286",-6.5253,-0.1498%,"4,349.9286"
25-Jan-2022,"4,356.4539",-53.6735,-1.2171%,"4,356.4539"
24-Jan-2022,"4,410.1274",+12.1882,+0.2771%,"4,410.1274"
21-Jan-2022,"4,397.9392",-84.7884,-1.8914%,"4,397.9392"
20-Jan-2022,"4,482.7276",-50.0320,-1.1038%,"4,482.7276"
19-Jan-2022,"4,532.7596",-44.3488,-0.9689%,"4,532.7596"
18-Jan-2022,"4,577.1084",-85.7457,-1.8389%,"4,577.1084"
14-Jan-2022,"4,662.8541",+3.8286,+0.0822%,"4,662.8541"
13-Jan-2022,"4,659.0255",-67.3202,-1.4244%,"4,659.0255"
12-Jan-2022,"4,726.3457",+13.2784,+0.2817%,"4,726.3457"
11-Jan-2022,"4,713.0673",+42.7769,+0.9159%,"4,713.0673"
10-Jan-2022,"4,670.2904",-6.7373,-0.1441%,"4,670.2904"
07-Jan-2022,"4,677.0277",-19.0261,-0.4052%,"4,677.0277"
06-Jan-2022,"4,696.0538",-4.5246,-0.0963%,"4,696.0538"
05-Jan-2022,"4,700.5784",-92.9588,-1.9393%,"4,700.5784"
04-Jan-2022,"4,793.5372",-3.0240,-0.0630%,"4,793.5372"
03-Jan-2022,"4,796.5612",+30.3782,+0.6374%,"4,796.5612"
31-Dec-2021,"4,766.1830",-12.5439,-0.2625%,"4,766.1830"
30-Dec-2021,"4,778.7269",-14.3312,-0.2990%,"4,778.7269"
29-Dec-2021,"4,793.0581",+6.7040,+0.1401%,"4,793.0581"
28-Dec-2021,"4,786.3541",-4.8379,-0.1010%,"4,786.3541"
27-Dec-2021,"4,791.1920",+65.4038,+1.3840%,"4,791.1920"
23-Dec-2021,"4,725.7882",+29.2266,+0.6223%,"4,725.7882"
22-Dec-2021,"4,696.5616",+47.3350,+1.0181%,"4,696.5616"
21-Dec-2021,"4,649.2266",+81.2094,+1.7778%,"4,649.2266"
20-Dec-2021,"4,568.0172",-52.6218,-1.1388%,"4,568.0172"
17-Dec-2021,"4,620.6390",-48.0322,-1.0288%,"4,620.6390"
16-Dec-2021,"4,668.6712",-41.1827,-0.8744%,"4,668.6712"
15-Dec-2021,"4,709.8539",+75.7663,+1.6350%,"4,709.8539"
14-Dec-2021,"4,634.0876",-34.8845,-0.7472%,"4,634.0876"
13-Dec-2021,"4,668.9721",-43.0520,-0.9137%,"4,668.9721"
10-Dec-2021,"4,712.0241",+44.5701,+0.9549%,"4,712.0241"
09-Dec-2021,"4,667.4540",-33.7539,-0.7180%,"4,667.4540"
08-Dec-2021,"4,701.2079",+14.4624,+0.3086%,"4,701.2079"
07-Dec-2021,"4,686.7455",+95.0737,+2.0706%,"4,686.7455"
06-Dec-2021,"4,591.6718",+53.2439,+1.1732%,"4,591.6718"
03-Dec-2021,"4,538.4279",-38.6726,-0.8449%,"4,538.4279"
02-Dec-2021,"4,577.1005",+64.0643,+1.4195%,"4,577.1005"
01-Dec-2021,"4,513.0362",-53.9653,-1.1816%,"4,513.0362"
30-Nov-2021,"4,567.0015",-88.2687,-1.8961%,"4,567.0015"
29-Nov-2021,"4,655.2702",+60.6519,+1.3201%,"4,655.2702"
26-Nov-2021,"4,594.6183",-106.8466,-2.2726%,"4,594.6183"
24-Nov-2021,"4,701.4649",+10.7668,+0.2295%,"4,701.4649"
23-Nov-2021,"4,690.6981",+7.7542,+0.1656%,"4,690.6981"
22-Nov-2021,"4,682.9439",-15.0112,-0.3195%,"4,682.9439"
19-Nov-2021,"4,697.9551",-6.5868,-0.1400%,"4,697.9551"
18-Nov-2021,"4,704.5419",+15.8712,+0.3385%,"4,704.5419"
17-Nov-2021,"4,688.6707",-12.2264,-0.2601%,"4,688.6707"
16-Nov-2021,"4,700.8971",+18.0936,+0.3864%,"4,700.8971"
15-Nov-2021,"4,682.8035",-0.0439,-0.0009%,"4,682.8035"
12-Nov-2021,"4,682.8474",+33.5782,+0.7222%,"4,682.8474"
11-Nov-2021,"4,649.2692",+2.5615,+0.0551%,"4,649.2692"
10-Nov-2021,"4,646.7077",-38.5435,-0.8227%,"4,646.7077"
09-Nov-2021,"4,685.2512",-16.4508,-0.3499%,"4,685.2512"
08-Nov-2021,"4,701.7020",+4.1752,+0.0889%,"4,701.7020"
05-Nov-2021,"4,697.5268",+17.4710,+0.3733%,"4,697.5268"
04-Nov-2021,"4,680.0558",+19.4862,+0.4181%,"4,680.0558"
03-Nov-2021,"4,660.5696",+29.9162,+0.6460%,"4,660.5696"
02-Nov-2021,"4,630.6534",+16.9804,+0.3680%,"4,630.6534"
01-Nov-2021,"4,613.6730",+8.2964,+0.1801%,"4,613.6730"
29-Oct-2021,"4,605.3766",+8.9615,+0.1950%,"4,605.3766"
28-Oct-2021,"4,596.4151",+44.7340,+0.9828%,"4,596.4151"
27-Oct-2021,"4,551.6811",-23.1077,-0.5051%,"4,551.6811"
26-Oct-2021,"4,574.7888",+8.3108,+0.1820%,"4,574.7888"
25-Oct-2021,"4,566.4780",+21.5797,+0.4748%,"4,566.4780"
22-Oct-2021,"4,544.8983",-4.8830,-0.1073%,"4,544.8983"
21-Oct-2021,"4,549.7813",+13.5892,+0.2996%,"4,549.7813"
20-Oct-2021,"4,536.1921",+16.5615,+0.3664%,"4,536.1921"
19-Oct-2021,"4,519.6306",+33.1701,+0.7393%,"4,519.6306"
18-Oct-2021,"4,486.4605",+15.0920,+0.3375%,"4,486.4605"
15-Oct-2021,"4,471.3685",+33.1041,+0.7459%,"4,471.3685"
14-Oct-2021,"4,438.2644",+74.4599,+1.7063%,"4,438.2644"
13-Oct-2021,"4,363.8045",+13.1585,+0.3024%,"4,363.8045"
12-Oct-2021,"4,350.6460",-10.5445,-0.2418%,"4,350.6460"
11-Oct-2021,"4,361.1905",-30.1476,-0.6865%,"4,361.1905"
08-Oct-2021,"4,391.3381",-8.4252,-0.1915%,"4,391.3381"
